Source,Guest Card Inquiries,Showings,Applications,Approved Applications,Converted Tenants,Property Name
INFINITY WEBSITE,207,487,266,47,197,Villa Olivetta
knows the area,385,402,332,147,295,Whispering Palms Estate
family used to stay here,284,446,239,216,244,Villa Driftwood
No Source Recorded,252,425,248,103,44,Villa Azure Cove
Walk In,42,202,200,220,386,Casa Seraphina
Apartments.com,130,107,346,162,138,Villa Terra Nova
Shared Application Link,55,198,372,58,464,Villa Driftwood
J Brown refferal,173,89,223,15,183,Villa Driftwood
Uloop,260,150,395,432,497,The Velvet Horizon
iliana res ref,276,17,474,289,265,Villa Solara
Apartment List,58,131,463,124,88,Casa Aurora
Infinity BH website,426,233,78,354,435,Whispering Palms Estate
add on 05-202,378,98,138,487,364,Villa Driftwood
d203,101,363,293,124,173,Villa Driftwood
EveryApartment,3,192,121,107,432,The Orchid Pavilion
Google,386,191,276,235,65,Villa Olivetta
add on 13-202,262,188,272,292,269,The Velvet Horizon
Website,289,189,192,181,107,Casa Seraphina
this es an add on 13-301,433,182,83,442,274,The Golden Banyan
Y Braddock refferal,69,104,91,483,315,Villa Luna Blanca
Referral 1035,67,309,299,271,138,Villa Élan Grove
Drive by s203,313,71,332,261,371,Casa Seraphina
Add On,155,298,225,218,64,The Orchid Pavilion
web google,397,477,267,340,65,The Golden Banyan
b102,241,299,68,323,357,Casa Aurora
applied in the past,477,350,364,240,382,The Orchid Pavilion
additional tenat,31,339,113,289,43,Villa Sereno
Res referral,79,301,190,304,134,Villa Luna Blanca
Past resident,164,470,200,195,359,Villa Cielo Alto
flyer,16,127,72,50,193,The Golden Banyan
Website (Apartments.com),70,228,103,164,374,Villa Solara
501 refferral,404,2,65,259,61,Whispering Palms Estate
res ref. Evelyn,340,257,219,222,219,Villa Solara
Facebook,182,341,219,94,141,Villa Sereno
adding on a unit,446,92,351,379,190,Villa Driftwood
Zumper,98,118,318,149,101,Villa Olivetta
res ref el gordo,340,237,129,212,149,The Orchid Pavilion
Additional Tenant,417,218,370,322,466,Casa Aurora
applicant referral,144,238,429,488,166,Villa Solara
Atlanta Apartment Magazine,195,441,383,84,436,Villa Olivetta
add on 02-101,344,382,85,232,499,Villa Luna Blanca
Show Me The Rent,414,196,165,262,360,Villa Azure Cove
Easter event,410,17,111,395,98,Villa Luna Blanca
Drive By,94,164,276,313,63,The Orchid Pavilion
2108 referral,433,155,394,261,238,Casa Aurora
New Tenants,169,148,263,369,301,Villa Olivetta
he live here,425,338,211,61,39,Villa Driftwood
Trulia,367,390,29,253,387,Villa Cielo Alto
aparments.com,56,44,435,374,333,The Golden Banyan
Rental Source,254,341,219,318,156,Villa Solara
Refferral 3105,0,193,377,496,9,The Orchid Pavilion
ref16-303 Clauia vasqus,476,311,365,222,206,Villa Luna Blanca
Maria pastrana res ref.,92,113,172,396,242,The Golden Banyan
Website (Zillow),441,26,273,492,340,Villa Solara
INFINITY BH,353,345,248,433,373,Casa Seraphina
Patricia gonzalez 02-202 res ref.,166,340,254,268,51,Villa Azure Cove
Zillow Rental Network,152,237,408,405,483,Whispering Palms Estate
Resident Referral,449,389,310,94,416,Villa Solara
Zumper.com,14,419,338,430,249,Casa Aurora
ad on,388,28,33,14,276,Whispering Palms Estate
Word Of Mouth,426,198,64,339,374,Villa Luna Blanca
Family Friend,438,483,117,411,133,The Golden Banyan
APPLYING  WITH ANOTHER APPLICANT,340,8,170,324,337,Villa Azure Cove
