Property Name,Region
Villa Terra Nova,South Florida
The Marula Nest,Central Florida
Villa Cielo Alto,Georgia
Villa Azure Cove,South Florida
Villa Terra Nova,Retail
Villa Luna Blanca,Central Florida
Whispering Palms Estate,Retail
Villa Azure Cove,Retail
Villa Terra Nova,Arizona
Casa Aurora,Retail
Villa Cielo Alto,South Florida
Villa Driftwood,Arizona
Casa Seraphina,North Florida
Villa Sereno,North Florida
Villa Olivetta,Retail
The Velvet Horizon,North Florida
Villa Sereno,Central Florida
The Golden Banyan,Central Florida
Villa Solara,Arizona
Casa del Mariposa,South Florida
The Orchid Pavilion,Georgia
Sapphire Ridge Retreat,Retail
Villa Élan Grove,North Florida
